case_number,case_title,case_type,case_dg,case_instrument,case_initiation_date,case_last_decision_date,origin_code,origin_label,legal_basis_code,legal_basis_label,core_platform_service_code,core_platform_service_label,concerned_obligation_code,concerned_obligation_label,companies,sectors,acquisitions,designations,court_cases,n_case_attachments,n_decisions
DMA.100203,Apple – Operating systems – iOS – Article 6(7) – SP – Features for Connected Physical Devices,DmaComplianceCaseType,Competition DG,Digital Markets Act,2023-09-11,2025-08-04,DmaOriginDesignation,Designation,DMALegalBaseCompliance,DMA – Regulation 2022/1925,DmaCPS006,Operating systems,DmaObligationInterop,Article 6(7): interoperability,NA,NA,"{""items"":[{}]}","{""items"":[{}]}",NA,0,4
DMA.100005,Alphabet - video-sharing platform services,DmaGateKeeperCaseType,Competition DG,Digital Markets Act,2022-10-26,2023-09-05,DmaOriginNotif,Notification,DMALegalBase33,3(3) DMA - Quantitative designation (Notification),DmaCPS004,Video-sharing platform services,NA,NA,Alphabet Inc.,NA,{},"{""items"":[{""gatekeeperContactVID"":""cocoa_315080_0001"",""decisionNumber"":""{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3}"",""gatekeeperContactName"":""Alphabet Inc."",""corePlatformService"":""DmaCPS004"",""designationNumber"":""{86FF971A-2726-4213-8A28-0207A93C9554}"",""services"":[""YouTube""],""status"":""DesignationActive""}]}",NA,0,1
DMA.100204,SP - Apple - Article 6(7) – process,DmaComplianceCaseType,Competition DG,Digital Markets Act,2023-09-11,2025-03-18,DmaOriginDesignation,Designation,DMALegalBaseCompliance,DMA – Regulation 2022/1925,DmaCPS006,Operating systems,DmaObligationInterop,Article 6(7): interoperability,NA,NA,"{""items"":[{}]}","{""items"":[{}]}",NA,0,3
DMA.100006,Alphabet - number-independent interpersonal communications services,DmaGateKeeperCaseType,Competition DG,Digital Markets Act,2022-10-26,2023-09-05,DmaOriginNotif,Notification,DMALegalBase33,3(3) DMA - Quantitative designation (Notification),DmaCPS005,Number-independent interpersonal communication services,NA,NA,Alphabet Inc.,NA,{},{},NA,0,1
DMA.100047,Apple - iPadOS,DmaGateKeeperCaseType,Competition DG,Digital Markets Act,2023-08-25,2024-04-29,DmaOriginNotif,Notification,DMALegalBase38,3(8) DMA – Qualitative designation,DmaCPS006,Operating systems,NA,NA,Apple Inc.,NA,"{""items"":[{}]}","{""items"":[{""gatekeeperContactVID"":""cocoa_305660_0001"",""decisionNumber"":""{F604DC76-DD03-4853-8A76-21D42A7A6803}"",""gatekeeperContactName"":""Apple Inc."",""corePlatformService"":""DmaCPS006"",""designationNumber"":""{95163367-A3A1-4473-A9CF-27A4E0A6615E}"",""services"":[""iPadOS""],""status"":""DesignationActive""}]}",NA,0,2
DMA.100004,Alphabet - online search engines,DmaGateKeeperCaseType,Competition DG,Digital Markets Act,2022-10-26,2023-09-05,DmaOriginNotif,Notification,DMALegalBase33,3(3) DMA - Quantitative designation (Notification),DmaCPS002,Online search engines,NA,NA,Alphabet Inc.,NA,{},"{""items"":[{""gatekeeperContactVID"":""cocoa_315080_0001"",""decisionNumber"":""{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3}"",""gatekeeperContactName"":""Alphabet Inc."",""corePlatformService"":""DmaCPS002"",""designationNumber"":""{313C5C01-2199-45F0-896B-AE1AC7BDCB75}"",""services"":[""Google Search""],""status"":""DesignationActive""}]}",NA,0,1
DMA.100009,Alphabet - operating systems,DmaGateKeeperCaseType,Competition DG,Digital Markets Act,2022-10-26,2023-09-05,DmaOriginNotif,Notification,DMALegalBase33,3(3) DMA - Quantitative designation (Notification),DmaCPS006,Operating systems,NA,NA,Alphabet Inc.,NA,{},"{""items"":[{""gatekeeperContactVID"":""cocoa_315080_0001"",""decisionNumber"":""{564D5143-E863-4715-A8AE-D15EAA7B50B9}"",""gatekeeperContactName"":""Alphabet Inc."",""corePlatformService"":""DmaCPS006"",""designationNumber"":""{06468AEB-B66B-49EB-A1B1-3630579E519A}"",""services"":[""Android Mobile""],""status"":""DesignationActive""}]}",NA,0,1
DMA.100206,Apple – new business terms,DmaComplianceCaseType,Competition DG,Digital Markets Act,2023-09-11,2024-06-24,DmaOriginDesignation,Designation,DMALegalBaseCompliance,DMA – Regulation 2022/1925,DmaCPS001,Online intermediation services,DmaObligationSideLoading,Article 6(4): side-loading,Apple Inc.,NA,"{""items"":[{}]}","{""items"":[{}]}",NA,0,1
DMA.100008,Alphabet - web browsers,DmaGateKeeperCaseType,Competition DG,Digital Markets Act,2022-10-26,2023-09-05,DmaOriginNotif,Notification,DMALegalBase33,3(3) DMA - Quantitative designation (Notification),DmaCPS009,Web browsers,NA,NA,Alphabet Inc.,NA,{},"{""items"":[{""gatekeeperContactVID"":""cocoa_315080_0001"",""decisionNumber"":""{564D5143-E863-4715-A8AE-D15EAA7B50B9}"",""gatekeeperContactName"":""Alphabet Inc."",""corePlatformService"":""DmaCPS009"",""designationNumber"":""{D8E9BF8A-78B1-4C54-9A02-4C565843B20C}"",""services"":[""Google Chrome""],""status"":""DesignationActive""}]}",NA,0,1
DMA.100041,X - online social networking services,DmaGateKeeperCaseType,Competition DG,Digital Markets Act,2023-02-17,2024-10-16,DmaOriginNotif,Notification,DMALegalBase33,3(3) DMA - Quantitative designation (Notification),DmaCPS003,Online social networking services,NA,NA,X Holdings Corp.,NA,"{""items"":[{}]}","{""items"":[{}]}",NA,0,2
